"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Winter is coming.... #ForTheThrone #GameOfThones #NightKing #April https://t.co/SqOZUureL1",FALSE,0,NA,2019-03-11 03:11:46,FALSE,NA,"1104942965259161600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaseMed",0,FALSE,FALSE,NA,NA
"2","RT @_willcompton: Watching #GameOfThones the second time around is even better 

The conversations are awesome! Had no idea the 1st time ar…",FALSE,0,NA,2019-03-11 03:10:48,FALSE,NA,"1104942720374714368",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tanner_merchant",1,TRUE,FALSE,NA,NA
"3","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 03:07:00,FALSE,NA,"1104941766204116992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","c_stoltz01",103,TRUE,FALSE,NA,NA
"4","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 03:03:24,FALSE,NA,"1104940860700086273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smhatakan",103,TRUE,FALSE,NA,NA
"5","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 03:01:39,FALSE,NA,"1104940420939829249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lonestar87",103,TRUE,FALSE,NA,NA
"6","@yoyaque Cuales le falta la última temporada #GameOfThones que termine..",FALSE,1,"yoyaque",2019-03-11 03:01:01,FALSE,"1104916989477154816","1104940261128458240","116578964","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JosLuis16123415",0,FALSE,FALSE,NA,NA
"7","Watching #GameOfThones the second time around is even better 

The conversations are awesome! Had no idea the 1st time around",FALSE,19,NA,2019-03-11 03:00:34,FALSE,NA,"1104940146712084480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_willcompton",1,FALSE,FALSE,NA,NA
"8","The level of loathing I hold for Cersei Lannister is limitless ever since that Lady wolf death so I swear, if she w… https://t.co/GzoaaQgqoc",FALSE,0,NA,2019-03-11 02:55:20,TRUE,NA,"1104938829096472576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HEAapologist",0,FALSE,FALSE,NA,NA
"9","RT @rishibagree: Action packed April, May and June

#GameOfThones
Elections
IPL 
Cricket World Cup
#AvengersEndgame",FALSE,0,NA,2019-03-11 02:53:31,FALSE,NA,"1104938372345331713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SOErabaiMahadev",198,TRUE,FALSE,NA,NA
"10","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 02:49:18,FALSE,NA,"1104937312188682240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hafeez_0430",103,TRUE,FALSE,NA,NA
"11","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 02:48:07,FALSE,NA,"1104937015273914368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NileshP2821982",103,TRUE,FALSE,NA,NA
"12","RT @Madan_Chikna: #IPL2019
#GameOfThones Final Season
#AvengersEndgame 
#LokSabhaElections2019

MONTH OF APRIL IS GONNA ROCK",FALSE,0,NA,2019-03-11 02:46:18,FALSE,NA,"1104936558015131648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VijayMaruthi3",47,TRUE,FALSE,NA,NA
"13","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 02:42:26,FALSE,NA,"1104935584030572544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","7CharmsPrecious",103,TRUE,FALSE,NA,NA
"14","RT @infinitum: ¿Quién se quedará con el Trono de Hierro? Descúbrelo con tu paquete #Infinitum + HBO y disfruta las temporadas de #GameOfTho…",FALSE,0,NA,2019-03-11 02:37:23,FALSE,NA,"1104934311185342474",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SweetRagamuffin",53,TRUE,FALSE,NA,NA
"15","episode 52 - “That’s what I do. I drink and I know things.” a true mood ugh his mind.
#ForTheThrone #GameOfThones https://t.co/iKgVoVKC9L",FALSE,0,"MayaWesby",2019-03-11 02:35:54,FALSE,"1104581414102753285","1104933937518989312","1431719107","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MayaWesby",0,FALSE,FALSE,NA,NA
"16","#TheOldGodsandTheNew this episode of #GameOfThones is fucking great, Tyrion bitch slaps Joffrey AGAIN! aaand The Ho… https://t.co/W2vriuBOSb",FALSE,0,NA,2019-03-11 02:34:19,TRUE,NA,"1104933541173960704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taryn_rae",0,FALSE,FALSE,NA,NA
"17","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 02:32:51,FALSE,NA,"1104933171651665922",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nvpressurv",103,TRUE,FALSE,NA,NA
"18","RT @BobaxFatt: Да здравствует его величество Джоффри из домов Баратеонов и Ланнистеров, первый носитель этого имени, король андалов, ройнар…",FALSE,0,NA,2019-03-11 02:30:35,FALSE,NA,"1104932599397605377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AitalYakovlev",0,TRUE,FALSE,NA,NA
"19","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 02:29:59,FALSE,NA,"1104932448406769666",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZamanBarovi",103,TRUE,FALSE,NA,NA
"20","I’m slowing starting to root for the Night King to win in the end 🤨 #GameOfThones",FALSE,1,NA,2019-03-11 02:28:21,FALSE,NA,"1104932041123135488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","suspectkk",0,FALSE,FALSE,NA,NA
"21","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 02:28:14,FALSE,NA,"1104932010546601984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jkson_4",103,TRUE,FALSE,NA,NA
"22","Omg, the ONE TIME #Joffrey is actually smarter than anybody else, and OF COURSE no one's going to listen to him!… https://t.co/9Wh6EZ3aL6",FALSE,0,NA,2019-03-11 02:23:00,TRUE,NA,"1104930694017368064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GBLindsey",0,FALSE,FALSE,NA,NA
"23","Joffrey’s death is sooooo damn satisfying. They really wanted us to enjoy it. These face is fucking terrible though. #GameOfThones",FALSE,0,NA,2019-03-11 02:22:58,FALSE,NA,"1104930683955351553",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","gubsreela",0,FALSE,FALSE,NA,NA
"24","I love watching #GameOfThones with someone who has never seen the show before. Makes the big eps so much fun to wat… https://t.co/KKdNa5bWVd",FALSE,1,NA,2019-03-11 02:22:39,TRUE,NA,"1104930605102448640",NA,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","x_Sayrah_x",0,FALSE,FALSE,NA,NA
"25","RT @KenNapzok: Thanks to my #GameOfThones knowledge I finally won a game on @hqtrivia. I'm taking my 61 cents and sailing to Pentos to live…",FALSE,0,NA,2019-03-11 02:22:26,FALSE,NA,"1104930549989367810",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","A_Scholl",6,TRUE,FALSE,NA,NA
"26","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 02:21:50,FALSE,NA,"1104930399170543616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PierreCpr",103,TRUE,FALSE,NA,NA
"27","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 02:20:06,FALSE,NA,"1104929962660950021",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Ygorante",103,TRUE,FALSE,NA,NA
"28","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 02:20:05,FALSE,NA,"1104929958588231686",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","seangino10",103,TRUE,FALSE,NA,NA
"29","Everything is better with some wine in the belly. #GameOfThones",FALSE,0,NA,2019-03-11 02:09:35,FALSE,NA,"1104927314893189120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1Nonly_mo",0,FALSE,FALSE,NA,NA
"30","#GOT #GameOfThones #Trump #TrumpMeetsTheInternet #Melania #memes https://t.co/3mpFYAE898",FALSE,0,NA,2019-03-11 02:09:31,FALSE,NA,"1104927299768467456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MariaPolette",0,FALSE,FALSE,NA,NA
"31","RT @infinitum: ¿Quién se quedará con el Trono de Hierro? Descúbrelo con tu paquete #Infinitum + HBO y disfruta las temporadas de #GameOfTho…",FALSE,0,NA,2019-03-11 02:09:00,FALSE,NA,"1104927168201740294",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gerrysuke",53,TRUE,FALSE,NA,NA
"32","RT @infinitum: ¿Quién se quedará con el Trono de Hierro? Descúbrelo con tu paquete #Infinitum + HBO y disfruta las temporadas de #GameOfTho…",FALSE,0,NA,2019-03-11 02:06:29,FALSE,NA,"1104926536984129537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lady_Ostara",53,TRUE,FALSE,NA,NA
"33","Oh and I binged season three of #GameOfThones  LOL",FALSE,0,"LunaTuna15",2019-03-11 02:05:24,FALSE,"1104925672932343808","1104926262131417089","3423099563","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LunaTuna15",0,FALSE,FALSE,NA,NA
"34","RT @KenNapzok: Thanks to my #GameOfThones knowledge I finally won a game on @hqtrivia. I'm taking my 61 cents and sailing to Pentos to live…",FALSE,0,NA,2019-03-11 02:04:35,FALSE,NA,"1104926060175454210",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","j_nuggs",6,TRUE,FALSE,NA,NA
"35","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:58:48,FALSE,NA,"1104924603955232768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Amadeus_IX",103,TRUE,FALSE,NA,NA
"36","لذا .. اي مسلسل عظيم نعم ومن بين الافضل .. لكن ليس الافضل بريي بسبب هذه الامور .
#GameOfThones",FALSE,0,"mlake72",2019-03-11 01:56:59,FALSE,"1104923009306054656","1104924146071490561","728310638414532608","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mlake72",0,FALSE,FALSE,NA,NA
"37","RT @KenNapzok: Thanks to my #GameOfThones knowledge I finally won a game on @hqtrivia. I'm taking my 61 cents and sailing to Pentos to live…",FALSE,0,NA,2019-03-11 01:56:08,FALSE,NA,"1104923931335684097",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WZemmama",6,TRUE,FALSE,NA,NA
"38","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:53:44,FALSE,NA,"1104923326844030976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carlitosss_33",103,TRUE,FALSE,NA,NA
"39","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:51:51,FALSE,NA,"1104922853927862273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1anuenue",103,TRUE,FALSE,NA,NA
"40","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:50:36,FALSE,NA,"1104922537463549952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HernanCtesG",103,TRUE,FALSE,NA,NA
"41","RT @KenNapzok: Thanks to my #GameOfThones knowledge I finally won a game on @hqtrivia. I'm taking my 61 cents and sailing to Pentos to live…",FALSE,0,NA,2019-03-11 01:49:10,FALSE,NA,"1104922179962056704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CDWho35",6,TRUE,FALSE,NA,NA
"42","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:47:11,FALSE,NA,"1104921680378503169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","meowbookz",103,TRUE,FALSE,NA,NA
"43","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:43:04,FALSE,NA,"1104920645148856320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lettymikka",103,TRUE,FALSE,NA,NA
"44","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:41:26,FALSE,NA,"1104920234132008961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_paturn14",103,TRUE,FALSE,NA,NA
"45","Season 1, Episode 1 #GameOfThones",FALSE,0,NA,2019-03-11 01:39:31,FALSE,NA,"1104919750461648896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fabolousFAB562",0,FALSE,FALSE,NA,NA
"46","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:34:14,FALSE,NA,"1104918420775153664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FalaEToficial",103,TRUE,FALSE,NA,NA
"47","Folding clothes n watching season 6 #GameOfThones",FALSE,0,NA,2019-03-11 01:32:06,FALSE,NA,"1104917884369805312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CanUHandleHamz",0,FALSE,FALSE,NA,NA
"48","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:32:00,FALSE,NA,"1104917857287196672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Man_like_Mufasa",103,TRUE,FALSE,NA,NA
"49","RT @brettaok: Waiting on line for the #GameOfThones Bleed For The Throne experience. #SXSW2019 #SXSW https://t.co/05WvyfTvk8",FALSE,0,NA,2019-03-11 01:31:57,FALSE,NA,"1104917844691628032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HazelJuniosa",103,TRUE,FALSE,NA,NA
